INFO 2024-11-01 15:30:59,613 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-01 15:30:59,997 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\__init__.py first seen with mtime 1729644004.865858
DEBUG 2024-11-01 15:30:59,998 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1729734846.8526125
DEBUG 2024-11-01 15:30:59,998 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1729734844.392513
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1729734846.8699827
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\autoreload.py first seen with mtime 1729734846.8312988
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1729734846.751769
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\wsgiref\headers.py first seen with mtime 1729644005.8035648
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\base64.py first seen with mtime 1729644004.143207
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1729734846.7217238
DEBUG 2024-11-01 15:30:59,999 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1729734846.7910511
DEBUG 2024-11-01 15:31:00,000 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1729734846.777768
DEBUG 2024-11-01 15:31:00,001 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\wsgiref\__init__.py first seen with mtime 1729644005.8071334
DEBUG 2024-11-01 15:31:00,001 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\decimal.py first seen with mtime 1729644004.193652
DEBUG 2024-11-01 15:31:00,001 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\lzma.py first seen with mtime 1729644004.8414733
DEBUG 2024-11-01 15:31:00,001 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1729734846.7192523
DEBUG 2024-11-01 15:31:00,001 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1729734846.3471284
DEBUG 2024-11-01 15:31:00,001 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\utils\html.py first seen with mtime 1729734846.855672
DEBUG 2024-11-01 15:31:00,002 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\glob.py first seen with mtime 1729644004.425919
DEBUG 2024-11-01 15:31:00,002 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\utils.py first seen with mtime 1729734846.835838
DEBUG 2024-11-01 15:31:00,002 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1730072883.7846935
DEBUG 2024-11-01 15:31:00,002 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1729734845.6977882
DEBUG 2024-11-01 15:31:00,003 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\colorama\winterm.py first seen with mtime 1729734844.953606
DEBUG 2024-11-01 15:31:00,003 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1729734846.8689709
DEBUG 2024-11-01 15:31:00,003 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\sqlite3\__init__.py first seen with mtime 1729644005.6755342
DEBUG 2024-11-01 15:31:00,004 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1729734846.7864654
DEBUG 2024-11-01 15:31:00,004 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1729734846.7085285
DEBUG 2024-11-01 15:31:00,004 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1729734846.796676
DEBUG 2024-11-01 15:31:00,005 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1729734846.840969
DEBUG 2024-11-01 15:31:00,005 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1729734845.8000686
DEBUG 2024-11-01 15:31:00,005 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1729734846.7788074
DEBUG 2024-11-01 15:31:00,005 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1729734846.751769
DEBUG 2024-11-01 15:31:00,006 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1729734846.79564
DEBUG 2024-11-01 15:31:00,006 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1729734846.7767582
DEBUG 2024-11-01 15:31:00,006 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1729734846.7247765
DEBUG 2024-11-01 15:31:00,006 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\socketserver.py first seen with mtime 1729644005.6578033
DEBUG 2024-11-01 15:31:00,006 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\DLLs\_lzma.pyd first seen with mtime 1729644003.9760096
DEBUG 2024-11-01 15:31:00,006 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\asgiref\local.py first seen with mtime 1729734845.050609
DEBUG 2024-11-01 15:31:00,007 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1729734845.8025904
DEBUG 2024-11-01 15:31:00,007 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1729734846.7721574
DEBUG 2024-11-01 15:31:00,007 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1729734845.4368675
DEBUG 2024-11-01 15:31:00,007 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1729734846.867948
DEBUG 2024-11-01 15:31:00,007 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1729734846.8500874
